method,label,noise_name,seed,budget_fraction,dwga_swapped,dwga_original,dwga_diff
noise_score_cpba_only,CPBA-only,minority_high_40,9,0.1,0.2710280373831776,0.1080817290755745,0.1629463083076031
noise_score_cpba_only,CPBA-only,uniform20,0,0.005,0.1246105919003114,0.0373831775700934,0.087227414330218
noise_score_cpba_only,CPBA-only,uniform20,0,0.01,0.1417445482866043,-0.043613707165109,0.1853582554517133
noise_score_cpba_only,CPBA-only,uniform20,0,0.02,0.073208722741433,-0.0015576323987538,0.0747663551401868
noise_score_cpba_only,CPBA-only,uniform20,0,0.05,0.0537524780515434,0.0046956918167313,0.0490567862348121
noise_score_cpba_only,CPBA-only,uniform20,0,0.1,0.0417790855903461,-0.0711357937708518,0.1129148793611979
noise_score_cpba_only,CPBA-only,uniform20,1,0.005,0.0077881619937694,0.0077881619937694,0.0
noise_score_cpba_only,CPBA-only,uniform20,1,0.01,0.0295950155763239,0.0140186915887849,0.015576323987539
noise_score_cpba_only,CPBA-only,uniform20,1,0.02,0.0467199922636439,0.0320637420477858,0.014656250215858098
noise_score_cpba_only,CPBA-only,uniform20,1,0.05,-0.0650316707075312,-0.0872267235841433,0.022195052876612095
noise_score_cpba_only,CPBA-only,uniform20,1,0.1,-0.1297766817940057,-0.1227034419876909,-0.007073239806314802
noise_score_cpba_only,CPBA-only,uniform20,2,0.005,0.0109034267912772,0.0,0.0109034267912772
noise_score_cpba_only,CPBA-only,uniform20,2,0.01,0.0186915887850467,0.0233644859813084,-0.0046728971962617
noise_score_cpba_only,CPBA-only,uniform20,2,0.02,0.0763239875389407,0.088785046728972,-0.012461059190031307
noise_score_cpba_only,CPBA-only,uniform20,2,0.05,-0.0457418958216769,-0.007277700644466,-0.0384641951772109
noise_score_cpba_only,CPBA-only,uniform20,2,0.1,-0.1011742683272202,0.0002611020162878,-0.101435370343508
noise_score_cpba_only,CPBA-only,uniform20,3,0.005,0.0015576323987539,0.0140186915887851,-0.012461059190031201
noise_score_cpba_only,CPBA-only,uniform20,3,0.01,0.0358255451713396,0.0404984423676012,-0.0046728971962615995
noise_score_cpba_only,CPBA-only,uniform20,3,0.02,0.1074766355140187,0.1090342679127726,-0.0015576323987538943
noise_score_cpba_only,CPBA-only,uniform20,3,0.05,0.030438416533698,0.0535203873703987,-0.023081970836700702
noise_score_cpba_only,CPBA-only,uniform20,3,0.1,0.0597067092166249,0.0623895669712857,-0.002682857754660796
noise_score_cpba_only,CPBA-only,uniform20,4,0.005,-0.0124610591900311,0.0109034267912773,-0.0233644859813084
noise_score_cpba_only,CPBA-only,uniform20,4,0.01,0.0124610591900311,0.0093457943925233,0.0031152647975078007
noise_score_cpba_only,CPBA-only,uniform20,4,0.02,0.0591900311526479,0.0369687299251922,0.0222213012274557
noise_score_cpba_only,CPBA-only,uniform20,4,0.05,-0.0356038156813173,-0.0783306048863377,0.0427267892050204
noise_score_cpba_only,CPBA-only,uniform20,4,0.1,-0.0817235496059293,-0.0982862589883332,0.016562709382403895
noise_score_cpba_only,CPBA-only,uniform20,5,0.005,0.0778816199376947,0.0031152647975077,0.074766355140187
noise_score_cpba_only,CPBA-only,uniform20,5,0.01,0.0944795573699152,0.0124610591900311,0.0820184981798841
noise_score_cpba_only,CPBA-only,uniform20,5,0.02,0.0685358255451713,-0.0486457923202852,0.1171816178654565
noise_score_cpba_only,CPBA-only,uniform20,5,0.05,-0.1157199991711047,-0.1315726215885778,0.015852622417473095
noise_score_cpba_only,CPBA-only,uniform20,5,0.1,0.0248564975029529,-0.2251424663779348,0.24999896388088771
noise_score_cpba_only,CPBA-only,uniform20,6,0.005,0.0140186915887851,0.0046728971962617,0.0093457943925234
noise_score_cpba_only,CPBA-only,uniform20,6,0.01,0.0202492211838006,0.0109034267912773,0.009345794392523301
noise_score_cpba_only,CPBA-only,uniform20,6,0.02,0.0420560747663552,0.0033777483059452,0.03867832646041
noise_score_cpba_only,CPBA-only,uniform20,6,0.05,-0.0860241346678547,-0.1167996352860724,0.030775500618217697
